,0,1,2,3,4,5
0,Jdex,Ndex,MS,Pokémon,Type,
1,#001,#152,,Chikorita,Grass,
2,#002,#153,,Bayleef,Grass,
3,#003,#154,,Meganium,Grass,
4,#004,#155,,Cyndaquil,Fire,
5,#005,#156,,Quilava,Fire,
6,#006,#157,,Typhlosion,Fire,
7,#007,#158,,Totodile,Water,
8,#008,#159,,Croconaw,Water,
9,#009,#160,,Feraligatr,Water,
10,#019,#161,,Sentret,Normal,
11,#020,#162,,Furret,Normal,
12,#015,#163,,Hoothoot,Normal,Flying
13,#016,#164,,Noctowl,Normal,Flying
14,#030,#165,,Ledyba,Bug,Flying
15,#031,#166,,Ledian,Bug,Flying
16,#032,#167,,Spinarak,Bug,Poison
17,#033,#168,,Ariados,Bug,Poison
18,#039,#169,,Crobat,Poison,Flying
19,#176,#170,,Chinchou,Water,Electric
20,#177,#171,,Lanturn,Water,Electric
21,#021,#172,,Pichu,Electric,
22,#040,#173,,Cleffa,Fairy,
23,#044,#174,,Igglybuff,Normal,Fairy
24,#046,#175,,Togepi,Fairy,
25,#047,#176,,Togetic,Fairy,Flying
26,#161,#177,,Natu,Psychic,Flying
27,#162,#178,,Xatu,Psychic,Flying
28,#053,#179,,Mareep,Electric,
29,#054,#180,,Flaaffy,Electric,
30,#055,#181,,Ampharos,Electric,
31,#086,#182,,Bellossom,Grass,
32,#132,#183,,Marill,Water,Fairy
33,#133,#184,,Azumarill,Water,Fairy
34,#107,#185,,Sudowoodo,Rock,
35,#075,#186,,Politoed,Water,
36,#067,#187,,Hoppip,Grass,Flying
37,#068,#188,,Skiploom,Grass,Flying
38,#069,#189,,Jumpluff,Grass,Flying
39,#123,#190,,Aipom,Normal,
40,#103,#191,,Sunkern,Grass,
41,#104,#192,,Sunflora,Grass,
42,#101,#193,,Yanma,Bug,Flying
43,#056,#194,,Wooper,Water,Ground
44,#057,#195,,Quagsire,Water,Ground
45,#188,#196,,Espeon,Psychic,
46,#189,#197,,Umbreon,Dark,
47,#213,#198,,Murkrow,Dark,Flying
48,#082,#199,,Slowking,Water,Psychic
49,,#199,,Slowking,Poison,Psychic
50,#219,#200,,Misdreavus,Ghost,
51,#061,#201,,Unown,Psychic,
52,#108,#202,,Wobbuffet,Psychic,
53,#149,#203,,Girafarig,Normal,Psychic
54,#093,#204,,Pineco,Bug,
55,#094,#205,,Forretress,Bug,Steel
56,#052,#206,,Dunsparce,Normal,
57,#193,#207,,Gligar,Ground,Flying
58,#063,#208,,Steelix,Steel,Ground
59,#125,#209,,Snubbull,Fairy,
60,#126,#210,,Granbull,Fairy,
61,#163,#211,,Qwilfish,Water,Poison
62,#112,#212,,Scizor,Bug,Steel
63,#168,#213,,Shuckle,Bug,Rock
64,#114,#214,,Heracross,Bug,Fighting
65,#218,#215,,Sneasel,Dark,Ice
66,#198,#216,,Teddiursa,Normal,
67,#199,#217,,Ursaring,Normal,
68,#216,#218,,Slugma,Fire,
69,#217,#219,,Magcargo,Fire,Rock
70,#195,#220,,Swinub,Ice,Ground
71,#196,#221,,Piloswine,Ice,Ground
72,#173,#222,,Corsola,Water,Rock
73,,#222,,Corsola,Ghost,
74,#174,#223,,Remoraid,Water,
75,#175,#224,,Octillery,Water,
76,#194,#225,,Delibird,Ice,Flying
77,#202,#226,,Mantine,Water,Flying
78,#203,#227,,Skarmory,Steel,Flying
79,#214,#228,,Houndour,Dark,Fire
80,#215,#229,,Houndoom,Dark,Fire
81,#192,#230,,Kingdra,Water,Dragon
82,#200,#231,,Phanpy,Ground,
83,#201,#232,,Donphan,Ground,
84,#221,#233,,Porygon2,Normal,
85,#131,#234,,Stantler,Normal,
86,#159,#235,,Smeargle,Normal,
87,#145,#236,,Tyrogue,Fighting,
88,#148,#237,,Hitmontop,Fighting,
89,#154,#238,,Smoochum,Ice,Psychic
90,#156,#239,,Elekid,Electric,
91,#152,#240,,Magby,Fire,
92,#151,#241,,Miltank,Normal,
93,#223,#242,,Blissey,Normal,
94,#243,#243,,Raikou,Electric,
95,#244,#244,,Entei,Fire,
96,#245,#245,,Suicune,Water,
97,#249,#246,,Larvitar,Rock,Ground
98,#250,#247,,Pupitar,Rock,Ground
99,#251,#248,,Tyranitar,Rock,Dark
100,#252,#249,,Lugia,Psychic,Flying
101,#253,#250,,Ho-Oh,Fire,Flying
102,#256,#251,,Celebi,Psychic,Grass
