,0,1,2,3,4,5
0,Hdex,Ndex,MS,Pokémon,Type,
1,#001,#252,,Treecko,Grass,
2,#002,#253,,Grovyle,Grass,
3,#003,#254,,Sceptile,Grass,
4,#004,#255,,Torchic,Fire,
5,#005,#256,,Combusken,Fire,Fighting
6,#006,#257,,Blaziken,Fire,Fighting
7,#007,#258,,Mudkip,Water,
8,#008,#259,,Marshtomp,Water,Ground
9,#009,#260,,Swampert,Water,Ground
10,#010,#261,,Poochyena,Dark,
11,#011,#262,,Mightyena,Dark,
12,#012,#263,,Zigzagoon,Normal,
13,,#263,,Zigzagoon,Dark,Normal
14,#013,#264,,Linoone,Normal,
15,,#264,,Linoone,Dark,Normal
16,#014,#265,,Wurmple,Bug,
17,#015,#266,,Silcoon,Bug,
18,#016,#267,,Beautifly,Bug,Flying
19,#017,#268,,Cascoon,Bug,
20,#018,#269,,Dustox,Bug,Poison
21,#019,#270,,Lotad,Water,Grass
22,#020,#271,,Lombre,Water,Grass
23,#021,#272,,Ludicolo,Water,Grass
24,#022,#273,,Seedot,Grass,
25,#023,#274,,Nuzleaf,Grass,Dark
26,#024,#275,,Shiftry,Grass,Dark
27,#025,#276,,Taillow,Normal,Flying
28,#026,#277,,Swellow,Normal,Flying
29,#027,#278,,Wingull,Water,Flying
30,#028,#279,,Pelipper,Water,Flying
31,#029,#280,,Ralts,Psychic,Fairy
32,#030,#281,,Kirlia,Psychic,Fairy
33,#031,#282,,Gardevoir,Psychic,Fairy
34,#032,#283,,Surskit,Bug,Water
35,#033,#284,,Masquerain,Bug,Flying
36,#034,#285,,Shroomish,Grass,
37,#035,#286,,Breloom,Grass,Fighting
38,#036,#287,,Slakoth,Normal,
39,#037,#288,,Vigoroth,Normal,
40,#038,#289,,Slaking,Normal,
41,#042,#290,,Nincada,Bug,Ground
42,#043,#291,,Ninjask,Bug,Flying
43,#044,#292,,Shedinja,Bug,Ghost
44,#045,#293,,Whismur,Normal,
45,#046,#294,,Loudred,Normal,
46,#047,#295,,Exploud,Normal,
47,#048,#296,,Makuhita,Fighting,
48,#049,#297,,Hariyama,Fighting,
49,#054,#298,,Azurill,Normal,Fairy
50,#060,#299,,Nosepass,Rock,
51,#061,#300,,Skitty,Normal,
52,#062,#301,,Delcatty,Normal,
53,#068,#302,,Sableye,Dark,Ghost
54,#069,#303,,Mawile,Steel,Fairy
55,#070,#304,,Aron,Steel,Rock
56,#071,#305,,Lairon,Steel,Rock
57,#072,#306,,Aggron,Steel,Rock
58,#076,#307,,Meditite,Fighting,Psychic
59,#077,#308,,Medicham,Fighting,Psychic
60,#078,#309,,Electrike,Electric,
61,#079,#310,,Manectric,Electric,
62,#080,#311,,Plusle,Electric,
63,#081,#312,,Minun,Electric,
64,#086,#313,,Volbeat,Bug,
65,#087,#314,,Illumise,Bug,
66,#094,#315,,Roselia,Grass,Poison
67,#095,#316,,Gulpin,Poison,
68,#096,#317,,Swalot,Poison,
69,#097,#318,,Carvanha,Water,Dark
70,#098,#319,,Sharpedo,Water,Dark
71,#099,#320,,Wailmer,Water,
72,#100,#321,,Wailord,Water,
73,#101,#322,,Numel,Fire,Ground
74,#102,#323,,Camerupt,Fire,Ground
75,#105,#324,,Torkoal,Fire,
76,#110,#325,,Spoink,Psychic,
77,#111,#326,,Grumpig,Psychic,
78,#114,#327,,Spinda,Normal,
79,#116,#328,,Trapinch,Ground,
80,#117,#329,,Vibrava,Ground,Dragon
81,#118,#330,,Flygon,Ground,Dragon
82,#119,#331,,Cacnea,Grass,
83,#120,#332,,Cacturne,Grass,Dark
84,#121,#333,,Swablu,Normal,Flying
85,#122,#334,,Altaria,Dragon,Flying
86,#123,#335,,Zangoose,Normal,
87,#124,#336,,Seviper,Poison,
88,#125,#337,,Lunatone,Rock,Psychic
89,#126,#338,,Solrock,Rock,Psychic
90,#127,#339,,Barboach,Water,Ground
91,#128,#340,,Whiscash,Water,Ground
92,#129,#341,,Corphish,Water,
93,#130,#342,,Crawdaunt,Water,Dark
94,#131,#343,,Baltoy,Ground,Psychic
95,#132,#344,,Claydol,Ground,Psychic
96,#133,#345,,Lileep,Rock,Grass
97,#134,#346,,Cradily,Rock,Grass
98,#135,#347,,Anorith,Rock,Bug
99,#136,#348,,Armaldo,Rock,Bug
100,#140,#349,,Feebas,Water,
101,#141,#350,,Milotic,Water,
102,#142,#351,,Castform,Normal,
103,#142,#351,,Castform,Fire,
104,#142,#351,,Castform,Water,
105,#142,#351,,Castform,Ice,
106,#145,#352,,Kecleon,Normal,
107,#146,#353,,Shuppet,Ghost,
108,#147,#354,,Banette,Ghost,
109,#148,#355,,Duskull,Ghost,
110,#149,#356,,Dusclops,Ghost,
111,#150,#357,,Tropius,Grass,Flying
112,#151,#358,,Chimecho,Psychic,
113,#152,#359,,Absol,Dark,
114,#160,#360,,Wynaut,Psychic,
115,#171,#361,,Snorunt,Ice,
116,#172,#362,,Glalie,Ice,
117,#173,#363,,Spheal,Ice,Water
118,#174,#364,,Sealeo,Ice,Water
119,#175,#365,,Walrein,Ice,Water
120,#176,#366,,Clamperl,Water,
121,#177,#367,,Huntail,Water,
122,#178,#368,,Gorebyss,Water,
123,#179,#369,,Relicanth,Water,Rock
124,#183,#370,,Luvdisc,Water,
125,#187,#371,,Bagon,Dragon,
126,#188,#372,,Shelgon,Dragon,
127,#189,#373,,Salamence,Dragon,Flying
128,#190,#374,,Beldum,Steel,Psychic
129,#191,#375,,Metang,Steel,Psychic
130,#192,#376,,Metagross,Steel,Psychic
131,#193,#377,,Regirock,Rock,
132,#194,#378,,Regice,Ice,
133,#195,#379,,Registeel,Steel,
134,#196,#380,,Latias,Dragon,Psychic
135,#197,#381,,Latios,Dragon,Psychic
136,#198,#382,,Kyogre,Water,
137,#199,#383,,Groudon,Ground,
138,#200,#384,,Rayquaza,Dragon,Flying
139,#201,#385,,Jirachi,Steel,Psychic
140,#202,#386,,Deoxys,Psychic,
141,#202,#386,,Deoxys,Psychic,
142,#202,#386,,Deoxys,Psychic,
143,#202,#386,,Deoxys,Psychic,
