,0,1,2,3,4,5
0,Sdex,Ndex,MS,Pokémon,Type,
1,#001,#387,,Turtwig,Grass,
2,#002,#388,,Grotle,Grass,
3,#003,#389,,Torterra,Grass,Ground
4,#004,#390,,Chimchar,Fire,
5,#005,#391,,Monferno,Fire,Fighting
6,#006,#392,,Infernape,Fire,Fighting
7,#007,#393,,Piplup,Water,
8,#008,#394,,Prinplup,Water,
9,#009,#395,,Empoleon,Water,Steel
10,#010,#396,,Starly,Normal,Flying
11,#011,#397,,Staravia,Normal,Flying
12,#012,#398,,Staraptor,Normal,Flying
13,#013,#399,,Bidoof,Normal,
14,#014,#400,,Bibarel,Normal,Water
15,#015,#401,,Kricketot,Bug,
16,#016,#402,,Kricketune,Bug,
17,#017,#403,,Shinx,Electric,
18,#018,#404,,Luxio,Electric,
19,#019,#405,,Luxray,Electric,
20,#025,#406,,Budew,Grass,Poison
21,#027,#407,,Roserade,Grass,Poison
22,#036,#408,,Cranidos,Rock,
23,#037,#409,,Rampardos,Rock,
24,#038,#410,,Shieldon,Rock,Steel
25,#039,#411,,Bastiodon,Rock,Steel
26,#045,#412,,Burmy,Bug,
27,#045,#412,,Burmy,Bug,
28,#045,#412,,Burmy,Bug,
29,#046,#413,,Wormadam,Bug,Grass
30,#046,#413,,Wormadam,Bug,Ground
31,#046,#413,,Wormadam,Bug,Steel
32,#047,#414,,Mothim,Bug,Flying
33,#053,#415,,Combee,Bug,Flying
34,#054,#416,,Vespiquen,Bug,Flying
35,#055,#417,,Pachirisu,Electric,
36,#056,#418,,Buizel,Water,
37,#057,#419,,Floatzel,Water,
38,#058,#420,,Cherubi,Grass,
39,#059,#421,,Cherrim,Grass,
40,#060,#422,,Shellos,Water,
41,#060,#422,,Shellos,Water,
42,#061,#423,,Gastrodon,Water,Ground
43,#061,#423,,Gastrodon,Water,Ground
44,#064,#424,,Ambipom,Normal,
45,#065,#425,,Drifloon,Ghost,Flying
46,#066,#426,,Drifblim,Ghost,Flying
47,#067,#427,,Buneary,Normal,
48,#068,#428,,Lopunny,Normal,
49,#073,#429,,Mismagius,Ghost,
50,#075,#430,,Honchkrow,Dark,Flying
51,#076,#431,,Glameow,Normal,
52,#077,#432,,Purugly,Normal,
53,#082,#433,,Chingling,Psychic,
54,#084,#434,,Stunky,Poison,Dark
55,#085,#435,,Skuntank,Poison,Dark
56,#088,#436,,Bronzor,Steel,Psychic
57,#089,#437,,Bronzong,Steel,Psychic
58,#092,#438,,Bonsly,Rock,
59,#094,#439,,Mime Jr.,Psychic,Fairy
60,#096,#440,,Happiny,Normal,
61,#102,#441,,Chatot,Normal,Flying
62,#108,#442,,Spiritomb,Ghost,Dark
63,#109,#443,,Gible,Dragon,Ground
64,#110,#444,,Gabite,Dragon,Ground
65,#111,#445,,Garchomp,Dragon,Ground
66,#112,#446,,Munchlax,Normal,
67,#115,#447,,Riolu,Fighting,
68,#116,#448,,Lucario,Fighting,Steel
69,#122,#449,,Hippopotas,Ground,
70,#123,#450,,Hippowdon,Ground,
71,#127,#451,,Skorupi,Poison,Bug
72,#128,#452,,Drapion,Poison,Dark
73,#129,#453,,Croagunk,Poison,Fighting
74,#130,#454,,Toxicroak,Poison,Fighting
75,#131,#455,,Carnivine,Grass,
76,#134,#456,,Finneon,Water,
77,#135,#457,,Lumineon,Water,
78,#140,#458,,Mantyke,Water,Flying
79,#142,#459,,Snover,Grass,Ice
80,#143,#460,,Abomasnow,Grass,Ice
81,#145,#461,,Weavile,Dark,Ice
82,#180,#462,,Magnezone,Electric,Steel
83,#162,#463,,Lickilicky,Normal,
84,#188,#464,,Rhyperior,Ground,Rock
85,#182,#465,,Tangrowth,Grass,
86,#199,#466,,Electivire,Electric,
87,#202,#467,,Magmortar,Fire,
88,#175,#468,,Togekiss,Fairy,Flying
89,#184,#469,,Yanmega,Bug,Flying
90,#169,#470,,Leafeon,Grass,
91,#170,#471,,Glaceon,Ice,
92,#154,#472,,Gliscor,Ground,Flying
93,#205,#473,,Mamoswine,Ice,Ground
94,#194,#474,,Porygon-Z,Normal,
95,#160,#475,,Gallade,Psychic,Fighting
96,#156,#476,,Probopass,Rock,Steel
97,#191,#477,,Dusknoir,Ghost,
98,#208,#478,,Froslass,Ice,Ghost
99,#152,#479,,Rotom,Electric,Ghost
100,#152,#479,,Rotom,Electric,Fire
101,#152,#479,,Rotom,Electric,Water
102,#152,#479,,Rotom,Electric,Ice
103,#152,#479,,Rotom,Electric,Flying
104,#152,#479,,Rotom,Electric,Grass
105,#146,#480,,Uxie,Psychic,
106,#147,#481,,Mesprit,Psychic,
107,#148,#482,,Azelf,Psychic,
108,#149,#483,,Dialga,Steel,Dragon
109,#150,#484,,Palkia,Water,Dragon
110,,#485,,Heatran,Fire,Steel
111,,#486,,Regigigas,Normal,
112,#210,#487,,Giratina,Ghost,Dragon
113,#210,#487,,Giratina,Ghost,Dragon
114,,#488,,Cresselia,Psychic,
115,,#489,,Phione,Water,
116,#151,#490,,Manaphy,Water,
117,,#491,,Darkrai,Dark,
118,,#492,,Shaymin,Grass,
119,,#492,,Shaymin,Grass,Flying
120,,#493,,Arceus,Normal,
