,0,1,2,3,4,5
0,Udex,Ndex,MS,Pokémon,Type,
1,#000,#494,,Victini,Psychic,Fire
2,#001,#495,,Snivy,Grass,
3,#002,#496,,Servine,Grass,
4,#003,#497,,Serperior,Grass,
5,#004,#498,,Tepig,Fire,
6,#005,#499,,Pignite,Fire,Fighting
7,#006,#500,,Emboar,Fire,Fighting
8,#007,#501,,Oshawott,Water,
9,#008,#502,,Dewott,Water,
10,#009,#503,,Samurott,Water,
11,#010,#504,,Patrat,Normal,
12,#011,#505,,Watchog,Normal,
13,#012,#506,,Lillipup,Normal,
14,#013,#507,,Herdier,Normal,
15,#014,#508,,Stoutland,Normal,
16,#015,#509,,Purrloin,Dark,
17,#016,#510,,Liepard,Dark,
18,#017,#511,,Pansage,Grass,
19,#018,#512,,Simisage,Grass,
20,#019,#513,,Pansear,Fire,
21,#020,#514,,Simisear,Fire,
22,#021,#515,,Panpour,Water,
23,#022,#516,,Simipour,Water,
24,#023,#517,,Munna,Psychic,
25,#024,#518,,Musharna,Psychic,
26,#025,#519,,Pidove,Normal,Flying
27,#026,#520,,Tranquill,Normal,Flying
28,#027,#521,,Unfezant,Normal,Flying
29,#027,#521,,Unfezant,Normal,Flying
30,#028,#522,,Blitzle,Electric,
31,#029,#523,,Zebstrika,Electric,
32,#030,#524,,Roggenrola,Rock,
33,#031,#525,,Boldore,Rock,
34,#032,#526,,Gigalith,Rock,
35,#033,#527,,Woobat,Psychic,Flying
36,#034,#528,,Swoobat,Psychic,Flying
37,#035,#529,,Drilbur,Ground,
38,#036,#530,,Excadrill,Ground,Steel
39,#037,#531,,Audino,Normal,
40,#038,#532,,Timburr,Fighting,
41,#039,#533,,Gurdurr,Fighting,
42,#040,#534,,Conkeldurr,Fighting,
43,#041,#535,,Tympole,Water,
44,#042,#536,,Palpitoad,Water,Ground
45,#043,#537,,Seismitoad,Water,Ground
46,#044,#538,,Throh,Fighting,
47,#045,#539,,Sawk,Fighting,
48,#046,#540,,Sewaddle,Bug,Grass
49,#047,#541,,Swadloon,Bug,Grass
50,#048,#542,,Leavanny,Bug,Grass
