,0,1,2,3,4,5
0,Ce/Co/Mo Kdex,Ndex,MS,Pokémon,Type,
1,#001Ce,#650,,Chespin,Grass,
2,#002Ce,#651,,Quilladin,Grass,
3,#003Ce,#652,,Chesnaught,Grass,Fighting
4,#004Ce,#653,,Fennekin,Fire,
5,#005Ce,#654,,Braixen,Fire,
6,#006Ce,#655,,Delphox,Fire,Psychic
7,#007Ce,#656,,Froakie,Water,
8,#008Ce,#657,,Frogadier,Water,
9,#009Ce,#658,,Greninja,Water,Dark
10,#010Ce,#659,,Bunnelby,Normal,
11,#011Ce,#660,,Diggersby,Normal,Ground
12,#014Ce,#661,,Fletchling,Normal,Flying
13,#015Ce,#662,,Fletchinder,Fire,Flying
14,#016Ce,#663,,Talonflame,Fire,Flying
15,#020Ce,#664,,Scatterbug,Bug,
16,#021Ce,#665,,Spewpa,Bug,
17,#022Ce,#666,,Vivillon,Bug,Flying
18,#057Ce,#667,,Litleo,Fire,Normal
19,#058Ce,#668,,Pyroar,Fire,Normal
20,#068Ce,#669,,Flabébé,Fairy,
21,#069Ce,#670,,Floette,Fairy,
22,#070Ce,#671,,Florges,Fairy,
23,#089Ce,#672,,Skiddo,Grass,
24,#090Ce,#673,,Gogoat,Grass,
25,#091Ce,#674,,Pancham,Fighting,
26,#092Ce,#675,,Pangoro,Fighting,Dark
27,#093Ce,#676,,Furfrou,Normal,
28,#114Ce,#677,,Espurr,Psychic,
29,#115Ce,#678,,Meowstic,Psychic,
30,#117Ce,#679,,Honedge,Steel,Ghost
31,#118Ce,#680,,Doublade,Steel,Ghost
32,#119Ce,#681,,Aegislash,Steel,Ghost
33,#129Ce,#682,,Spritzee,Fairy,
34,#130Ce,#683,,Aromatisse,Fairy,
35,#131Ce,#684,,Swirlix,Fairy,
36,#132Ce,#685,,Slurpuff,Fairy,
37,#010Co,#686,,Inkay,Dark,Psychic
38,#011Co,#687,,Malamar,Dark,Psychic
39,#021Co,#688,,Binacle,Rock,Water
40,#022Co,#689,,Barbaracle,Rock,Water
41,#030Co,#690,,Skrelp,Poison,Water
42,#031Co,#691,,Dragalge,Poison,Dragon
43,#032Co,#692,,Clauncher,Water,
44,#033Co,#693,,Clawitzer,Water,
45,#046Co,#694,,Helioptile,Electric,Normal
46,#047Co,#695,,Heliolisk,Electric,Normal
47,#064Co,#696,,Tyrunt,Rock,Dragon
48,#065Co,#697,,Tyrantrum,Rock,Dragon
49,#066Co,#698,,Amaura,Rock,Ice
50,#067Co,#699,,Aurorus,Rock,Ice
51,#085Co,#700,,Sylveon,Fairy,
52,#089Co,#701,,Hawlucha,Fighting,Flying
53,#110Co,#702,,Dedenne,Electric,Fairy
54,#124Co,#703,,Carbink,Rock,Fairy
55,#019Mo,#704,,Goomy,Dragon,
56,#020Mo,#705,,Sliggoo,Dragon,
57,#021Mo,#706,,Goodra,Dragon,
58,#050Mo,#707,,Klefki,Steel,Fairy
59,#061Mo,#708,,Phantump,Ghost,Grass
60,#062Mo,#709,,Trevenant,Ghost,Grass
61,#063Mo,#710,,Pumpkaboo,Ghost,Grass
62,#064Mo,#711,,Gourgeist,Ghost,Grass
63,#079Mo,#712,,Bergmite,Ice,
64,#080Mo,#713,,Avalugg,Ice,
65,#113Mo,#714,,Noibat,Flying,Dragon
66,#114Mo,#715,,Noivern,Flying,Dragon
67,#148Mo,#716,,Xerneas,Fairy,
68,#149Mo,#717,,Yveltal,Dark,Flying
69,#150Mo,#718,,Zygarde,Dragon,Ground
70,#151Ce,#719,,Diancie,Rock,Fairy
71,#152Ce,#720,,Hoopa,Psychic,Ghost
72,#152Ce,#720,,Hoopa,Psychic,Dark
73,#153Ce,#721,,Volcanion,Fire,Water
