,0,1,2,3,4,5
0,Adex,Ndex,MS,Pokémon,Type,
1,#001,#722,,Rowlet,Grass,Flying
2,#002,#723,,Dartrix,Grass,Flying
3,#003,#724,,Decidueye,Grass,Ghost
4,#004,#725,,Litten,Fire,
5,#005,#726,,Torracat,Fire,
6,#006,#727,,Incineroar,Fire,Dark
7,#007,#728,,Popplio,Water,
8,#008,#729,,Brionne,Water,
9,#009,#730,,Primarina,Water,Fairy
10,#010,#731,,Pikipek,Normal,Flying
11,#011,#732,,Trumbeak,Normal,Flying
12,#012,#733,,Toucannon,Normal,Flying
13,#013,#734,,Yungoos,Normal,
14,#014,#735,,Gumshoos,Normal,
15,#027,#736,,Grubbin,Bug,
16,#028,#737,,Charjabug,Bug,Electric
17,#029,#738,,Vikavolt,Bug,Electric
18,#059,#739,,Crabrawler,Fighting,
19,#060,#740,,Crabominable,Fighting,Ice
20,#082,#741,,Oricorio,Fire,Flying
21,#082,#741,,Oricorio,Electric,Flying
22,#082,#741,,Oricorio,Psychic,Flying
23,#082,#741,,Oricorio,Ghost,Flying
24,#083,#742,,Cutiefly,Bug,Fairy
25,#084,#743,,Ribombee,Bug,Fairy
26,#103,#744,,Rockruff,Rock,
27,#104,#745,,Lycanroc,Rock,
28,#110,#746,,Wishiwashi,Water,
29,#113,#747,,Mareanie,Poison,Water
30,#114,#748,,Toxapex,Poison,Water
31,#132,#749,,Mudbray,Ground,
32,#133,#750,,Mudsdale,Ground,
33,#141,#751,,Dewpider,Water,Bug
34,#142,#752,,Araquanid,Water,Bug
35,#143,#753,,Fomantis,Grass,
36,#144,#754,,Lurantis,Grass,
37,#145,#755,,Morelull,Grass,Fairy
38,#146,#756,,Shiinotic,Grass,Fairy
39,#161,#757,,Salandit,Poison,Fire
40,#162,#758,,Salazzle,Poison,Fire
41,#169,#759,,Stufful,Normal,Fighting
42,#170,#760,,Bewear,Normal,Fighting
43,#171,#761,,Bounsweet,Grass,
44,#172,#762,,Steenee,Grass,
45,#173,#763,,Tsareena,Grass,
46,#174,#764,,Comfey,Fairy,
47,#176,#765,,Oranguru,Normal,Psychic
48,#177,#766,,Passimian,Fighting,
49,#182,#767,,Wimpod,Bug,Water
50,#183,#768,,Golisopod,Bug,Water
51,#186,#769,,Sandygast,Ghost,Ground
52,#187,#770,,Palossand,Ghost,Ground
53,#200,#771,,Pyukumuku,Water,
54,#203,#772,,Type: Null,Normal,
55,#204,#773,,Silvally,Normal,
56,#213,#774,,Minior,Rock,Flying
57,#222,#775,,Komala,Normal,
58,#224,#776,,Turtonator,Fire,Dragon
59,#225,#777,,Togedemaru,Electric,Steel
60,#242,#778,,Mimikyu,Ghost,Fairy
61,#243,#779,,Bruxish,Water,Psychic
62,#244,#780,,Drampa,Normal,Dragon
63,#263,#781,,Dhelmise,Ghost,Grass
64,#271,#782,,Jangmo-o,Dragon,
65,#272,#783,,Hakamo-o,Dragon,Fighting
66,#273,#784,,Kommo-o,Dragon,Fighting
67,#285,#785,,Tapu Koko,Electric,Fairy
68,#286,#786,,Tapu Lele,Psychic,Fairy
69,#287,#787,,Tapu Bulu,Grass,Fairy
70,#288,#788,,Tapu Fini,Water,Fairy
71,#289,#789,,Cosmog,Psychic,
72,#290,#790,,Cosmoem,Psychic,
73,#291,#791,,Solgaleo,Psychic,Steel
74,#292,#792,,Lunala,Psychic,Ghost
75,#293,#793,,Nihilego,Rock,Poison
76,#294,#794,,Buzzwole,Bug,Fighting
77,#295,#795,,Pheromosa,Bug,Fighting
78,#296,#796,,Xurkitree,Electric,
79,#297,#797,,Celesteela,Steel,Flying
80,#298,#798,,Kartana,Grass,Steel
81,#299,#799,,Guzzlord,Dark,Dragon
82,#300,#800,,Necrozma,Psychic,
83,#301,#801,,Magearna,Steel,Fairy
84,#302,#802,,Marshadow,Fighting,Ghost
85,#261,#803,,Poipole,Poison,
86,#262,#804,,Naganadel,Poison,Dragon
87,#392,#805,,Stakataka,Rock,Steel
88,#393,#806,,Blacephalon,Fire,Ghost
89,#403,#807,,Zeraora,Electric,
90,#---,#808,,Meltan,Steel,
91,#---,#809,,Melmetal,Steel,
