,0,1,2,3,4,5
0,Gdex,Ndex,MS,Pokémon,Type,
1,#001,#810,,Grookey,Grass,
2,#002,#811,,Thwackey,Grass,
3,#003,#812,,Rillaboom,Grass,
4,#004,#813,,Scorbunny,Fire,
5,#005,#814,,Raboot,Fire,
6,#006,#815,,Cinderace,Fire,
7,#007,#816,,Sobble,Water,
8,#008,#817,,Drizzile,Water,
9,#009,#818,,Inteleon,Water,
10,#024,#819,,Skwovet,Normal,
11,#025,#820,,Greedent,Normal,
12,#021,#821,,Rookidee,Flying,
13,#022,#822,,Corvisquire,Flying,
14,#023,#823,,Corviknight,Flying,Steel
15,#010,#824,,Blipbug,Bug,
16,#011,#825,,Dottler,Bug,Psychic
17,#012,#826,,Orbeetle,Bug,Psychic
18,#029,#827,,Nickit,Dark,
19,#030,#828,,Thievul,Dark,
20,#126,#829,,Gossifleur,Grass,
21,#127,#830,,Eldegoss,Grass,
22,#034,#831,,Wooloo,Normal,
23,#035,#832,,Dubwool,Normal,
24,#042,#833,,Chewtle,Water,
25,#043,#834,,Drednaw,Water,Rock
26,#046,#835,,Yamper,Electric,
27,#047,#836,,Boltund,Electric,
28,#161,#837,,Rolycoly,Rock,
29,#162,#838,,Carkol,Rock,Fire
30,#163,#839,,Coalossal,Rock,Fire
31,#205,#840,,Applin,Grass,Dragon
32,#206,#841,,Flapple,Grass,Dragon
33,#207,#842,,Appletun,Grass,Dragon
34,#312,#843,,Silicobra,Ground,
35,#313,#844,,Sandaconda,Ground,
36,#309,#845,,Cramorant,Flying,Water
37,#180,#846,,Arrokuda,Water,
38,#181,#847,,Barraskewda,Water,
39,#310,#848,,Toxel,Electric,Poison
40,#311,#849,,Toxtricity,Electric,Poison
41,#159,#850,,Sizzlipede,Fire,Bug
42,#160,#851,,Centiskorch,Fire,Bug
43,#351,#852,,Clobbopus,Fighting,
44,#352,#853,,Grapploct,Fighting,
45,#335,#854,,Sinistea,Ghost,
46,#336,#855,,Polteageist,Ghost,
47,#241,#856,,Hatenna,Psychic,
48,#242,#857,,Hattrem,Psychic,
49,#243,#858,,Hatterene,Psychic,Fairy
50,#238,#859,,Impidimp,Dark,Fairy
51,#239,#860,,Morgrem,Dark,Fairy
52,#240,#861,,Grimmsnarl,Dark,Fairy
53,#033,#862,,Obstagoon,Dark,Normal
54,#183,#863,,Perrserker,Steel,
55,#237,#864,,Cursola,Ghost,
56,#219,#865,,Sirfetch'd,Fighting,
57,#366,#866,,Mr. Rime,Ice,Psychic
58,#328,#867,,Runerigus,Ground,Ghost
59,#185,#868,,Milcery,Fairy,
60,#186,#869,,Alcremie,Fairy,
61,#345,#870,,Falinks,Fighting,
62,#353,#871,,Pincurchin,Electric,
63,#349,#872,,Snom,Ice,Bug
64,#350,#873,,Frosmoth,Ice,Bug
65,#369,#874,,Stonjourner,Rock,
66,#370,#875,,Eiscue,Ice,
67,#337,#876,,Indeedee,Psychic,Normal
68,#344,#877,,Morpeko,Electric,Dark
69,#302,#878,,Cufant,Steel,
70,#303,#879,,Copperajah,Steel,
71,#374,#880,,Dracozolt,Electric,Dragon
72,#375,#881,,Arctozolt,Electric,Ice
73,#376,#882,,Dracovish,Water,Dragon
74,#377,#883,,Arctovish,Water,Ice
75,#371,#884,,Duraludon,Steel,Dragon
76,#395,#885,,Dreepy,Dragon,Ghost
77,#396,#886,,Drakloak,Dragon,Ghost
78,#397,#887,,Dragapult,Dragon,Ghost
79,#398,#888,,Zacian,Fairy,
80,#398,#888,,Zacian,Fairy,Steel
81,#399,#889,,Zamazenta,Fighting,
82,#399,#889,,Zamazenta,Fighting,Steel
83,#400,#890,,Eternatus,Poison,Dragon
84,#---,#891,,Kubfu,Fighting,
85,#---,#892,,Urshifu,Fighting,Dark
86,#---,#892,,Urshifu,Fighting,Water
87,#---,#893,,Zarude,Dark,Grass
88,#---,#894,,Regieleki,Electric,
89,#---,#895,,Regidrago,Dragon,
90,#---,#896,,Glastrier,Ice,
91,#---,#897,,Spectrier,Ghost,
92,#---,#898,,Calyrex,Psychic,Grass
93,#---,#898,,Calyrex,Psychic,Ice
94,#---,#898,,Calyrex,Psychic,Ghost
95,#---,#---,,Basculegion,Water,Ghost
96,#---,#---,,Wyrdeer,Normal,Psychic
97,#---,#---,,Kleavor,Bug,Rock
